Block,Max_Latitude,Max_Longitude,Min_Latitude,Min_Longitude
0,33.735887500000004,-118.6682625,33.6927,-118.7051
1,33.735887500000004,-118.63142500000001,33.6927,-118.6682625
2,33.735887500000004,-118.5945875,33.6927,-118.63142500000001
3,33.735887500000004,-118.55775,33.6927,-118.5945875
4,33.735887500000004,-118.52091250000001,33.6927,-118.55775
5,33.735887500000004,-118.484075,33.6927,-118.52091250000001
6,33.735887500000004,-118.4472375,33.6927,-118.484075
7,33.735887500000004,-118.41040000000001,33.6927,-118.4472375
8,33.735887500000004,-118.3735625,33.6927,-118.41040000000001
9,33.735887500000004,-118.336725,33.6927,-118.3735625
10,33.735887500000004,-118.2998875,33.6927,-118.336725
11,33.735887500000004,-118.26305,33.6927,-118.2998875
12,33.735887500000004,-118.2262125,33.6927,-118.26305
13,33.735887500000004,-118.189375,33.6927,-118.2262125
14,33.735887500000004,-118.15253750000001,33.6927,-118.189375
15,33.735887500000004,-118.1157,33.6927,-118.15253750000001
16,33.779075,-118.6682625,33.735887500000004,-118.7051
17,33.779075,-118.63142500000001,33.735887500000004,-118.6682625
18,33.779075,-118.5945875,33.735887500000004,-118.63142500000001
19,33.779075,-118.55775,33.735887500000004,-118.5945875
20,33.779075,-118.52091250000001,33.735887500000004,-118.55775
21,33.779075,-118.484075,33.735887500000004,-118.52091250000001
22,33.779075,-118.4472375,33.735887500000004,-118.484075
23,33.779075,-118.41040000000001,33.735887500000004,-118.4472375
24,33.779075,-118.3735625,33.735887500000004,-118.41040000000001
25,33.779075,-118.336725,33.735887500000004,-118.3735625
26,33.779075,-118.2998875,33.735887500000004,-118.336725
27,33.779075,-118.26305,33.735887500000004,-118.2998875
28,33.779075,-118.2262125,33.735887500000004,-118.26305
29,33.779075,-118.189375,33.735887500000004,-118.2262125
30,33.779075,-118.15253750000001,33.735887500000004,-118.189375
31,33.779075,-118.1157,33.735887500000004,-118.15253750000001
32,33.8222625,-118.6682625,33.779075,-118.7051
33,33.8222625,-118.63142500000001,33.779075,-118.6682625
34,33.8222625,-118.5945875,33.779075,-118.63142500000001
35,33.8222625,-118.55775,33.779075,-118.5945875
36,33.8222625,-118.52091250000001,33.779075,-118.55775
37,33.8222625,-118.484075,33.779075,-118.52091250000001
38,33.8222625,-118.4472375,33.779075,-118.484075
39,33.8222625,-118.41040000000001,33.779075,-118.4472375
40,33.8222625,-118.3735625,33.779075,-118.41040000000001
41,33.8222625,-118.336725,33.779075,-118.3735625
42,33.8222625,-118.2998875,33.779075,-118.336725
43,33.8222625,-118.26305,33.779075,-118.2998875
44,33.8222625,-118.2262125,33.779075,-118.26305
45,33.8222625,-118.189375,33.779075,-118.2262125
46,33.8222625,-118.15253750000001,33.779075,-118.189375
47,33.8222625,-118.1157,33.779075,-118.15253750000001
48,33.86545,-118.6682625,33.8222625,-118.7051
49,33.86545,-118.63142500000001,33.8222625,-118.6682625
50,33.86545,-118.5945875,33.8222625,-118.63142500000001
51,33.86545,-118.55775,33.8222625,-118.5945875
52,33.86545,-118.52091250000001,33.8222625,-118.55775
53,33.86545,-118.484075,33.8222625,-118.52091250000001
54,33.86545,-118.4472375,33.8222625,-118.484075
55,33.86545,-118.41040000000001,33.8222625,-118.4472375
56,33.86545,-118.3735625,33.8222625,-118.41040000000001
57,33.86545,-118.336725,33.8222625,-118.3735625
58,33.86545,-118.2998875,33.8222625,-118.336725
59,33.86545,-118.26305,33.8222625,-118.2998875
60,33.86545,-118.2262125,33.8222625,-118.26305
61,33.86545,-118.189375,33.8222625,-118.2262125
62,33.86545,-118.15253750000001,33.8222625,-118.189375
63,33.86545,-118.1157,33.8222625,-118.15253750000001
64,33.9086375,-118.6682625,33.86545,-118.7051
65,33.9086375,-118.63142500000001,33.86545,-118.6682625
66,33.9086375,-118.5945875,33.86545,-118.63142500000001
67,33.9086375,-118.55775,33.86545,-118.5945875
68,33.9086375,-118.52091250000001,33.86545,-118.55775
69,33.9086375,-118.484075,33.86545,-118.52091250000001
70,33.9086375,-118.4472375,33.86545,-118.484075
71,33.9086375,-118.41040000000001,33.86545,-118.4472375
72,33.9086375,-118.3735625,33.86545,-118.41040000000001
73,33.9086375,-118.336725,33.86545,-118.3735625
74,33.9086375,-118.2998875,33.86545,-118.336725
75,33.9086375,-118.26305,33.86545,-118.2998875
76,33.9086375,-118.2262125,33.86545,-118.26305
77,33.9086375,-118.189375,33.86545,-118.2262125
78,33.9086375,-118.15253750000001,33.86545,-118.189375
79,33.9086375,-118.1157,33.86545,-118.15253750000001
80,33.951825,-118.6682625,33.9086375,-118.7051
81,33.951825,-118.63142500000001,33.9086375,-118.6682625
82,33.951825,-118.5945875,33.9086375,-118.63142500000001
83,33.951825,-118.55775,33.9086375,-118.5945875
84,33.951825,-118.52091250000001,33.9086375,-118.55775
85,33.951825,-118.484075,33.9086375,-118.52091250000001
86,33.951825,-118.4472375,33.9086375,-118.484075
87,33.951825,-118.41040000000001,33.9086375,-118.4472375
88,33.951825,-118.3735625,33.9086375,-118.41040000000001
89,33.951825,-118.336725,33.9086375,-118.3735625
90,33.951825,-118.2998875,33.9086375,-118.336725
91,33.951825,-118.26305,33.9086375,-118.2998875
92,33.951825,-118.2262125,33.9086375,-118.26305
93,33.951825,-118.189375,33.9086375,-118.2262125
94,33.951825,-118.15253750000001,33.9086375,-118.189375
95,33.951825,-118.1157,33.9086375,-118.15253750000001
96,33.9950125,-118.6682625,33.951825,-118.7051
97,33.9950125,-118.63142500000001,33.951825,-118.6682625
98,33.9950125,-118.5945875,33.951825,-118.63142500000001
99,33.9950125,-118.55775,33.951825,-118.5945875
100,33.9950125,-118.52091250000001,33.951825,-118.55775
101,33.9950125,-118.484075,33.951825,-118.52091250000001
102,33.9950125,-118.4472375,33.951825,-118.484075
103,33.9950125,-118.41040000000001,33.951825,-118.4472375
104,33.9950125,-118.3735625,33.951825,-118.41040000000001
105,33.9950125,-118.336725,33.951825,-118.3735625
106,33.9950125,-118.2998875,33.951825,-118.336725
107,33.9950125,-118.26305,33.951825,-118.2998875
108,33.9950125,-118.2262125,33.951825,-118.26305
109,33.9950125,-118.189375,33.951825,-118.2262125
110,33.9950125,-118.15253750000001,33.951825,-118.189375
111,33.9950125,-118.1157,33.951825,-118.15253750000001
112,34.0382,-118.6682625,33.9950125,-118.7051
113,34.0382,-118.63142500000001,33.9950125,-118.6682625
114,34.0382,-118.5945875,33.9950125,-118.63142500000001
115,34.0382,-118.55775,33.9950125,-118.5945875
116,34.0382,-118.52091250000001,33.9950125,-118.55775
117,34.0382,-118.484075,33.9950125,-118.52091250000001
118,34.0382,-118.4472375,33.9950125,-118.484075
119,34.0382,-118.41040000000001,33.9950125,-118.4472375
120,34.0382,-118.3735625,33.9950125,-118.41040000000001
121,34.0382,-118.336725,33.9950125,-118.3735625
122,34.0382,-118.2998875,33.9950125,-118.336725
123,34.0382,-118.26305,33.9950125,-118.2998875
124,34.0382,-118.2262125,33.9950125,-118.26305
125,34.0382,-118.189375,33.9950125,-118.2262125
126,34.0382,-118.15253750000001,33.9950125,-118.189375
127,34.0382,-118.1157,33.9950125,-118.15253750000001
128,34.0813875,-118.6682625,34.0382,-118.7051
129,34.0813875,-118.63142500000001,34.0382,-118.6682625
130,34.0813875,-118.5945875,34.0382,-118.63142500000001
131,34.0813875,-118.55775,34.0382,-118.5945875
132,34.0813875,-118.52091250000001,34.0382,-118.55775
133,34.0813875,-118.484075,34.0382,-118.52091250000001
134,34.0813875,-118.4472375,34.0382,-118.484075
135,34.0813875,-118.41040000000001,34.0382,-118.4472375
136,34.0813875,-118.3735625,34.0382,-118.41040000000001
137,34.0813875,-118.336725,34.0382,-118.3735625
138,34.0813875,-118.2998875,34.0382,-118.336725
139,34.0813875,-118.26305,34.0382,-118.2998875
140,34.0813875,-118.2262125,34.0382,-118.26305
141,34.0813875,-118.189375,34.0382,-118.2262125
142,34.0813875,-118.15253750000001,34.0382,-118.189375
143,34.0813875,-118.1157,34.0382,-118.15253750000001
144,34.124575,-118.6682625,34.0813875,-118.7051
145,34.124575,-118.63142500000001,34.0813875,-118.6682625
146,34.124575,-118.5945875,34.0813875,-118.63142500000001
147,34.124575,-118.55775,34.0813875,-118.5945875
148,34.124575,-118.52091250000001,34.0813875,-118.55775
149,34.124575,-118.484075,34.0813875,-118.52091250000001
150,34.124575,-118.4472375,34.0813875,-118.484075
151,34.124575,-118.41040000000001,34.0813875,-118.4472375
152,34.124575,-118.3735625,34.0813875,-118.41040000000001
153,34.124575,-118.336725,34.0813875,-118.3735625
154,34.124575,-118.2998875,34.0813875,-118.336725
155,34.124575,-118.26305,34.0813875,-118.2998875
156,34.124575,-118.2262125,34.0813875,-118.26305
157,34.124575,-118.189375,34.0813875,-118.2262125
158,34.124575,-118.15253750000001,34.0813875,-118.189375
159,34.124575,-118.1157,34.0813875,-118.15253750000001
160,34.1677625,-118.6682625,34.124575,-118.7051
161,34.1677625,-118.63142500000001,34.124575,-118.6682625
162,34.1677625,-118.5945875,34.124575,-118.63142500000001
163,34.1677625,-118.55775,34.124575,-118.5945875
164,34.1677625,-118.52091250000001,34.124575,-118.55775
165,34.1677625,-118.484075,34.124575,-118.52091250000001
166,34.1677625,-118.4472375,34.124575,-118.484075
167,34.1677625,-118.41040000000001,34.124575,-118.4472375
168,34.1677625,-118.3735625,34.124575,-118.41040000000001
169,34.1677625,-118.336725,34.124575,-118.3735625
170,34.1677625,-118.2998875,34.124575,-118.336725
171,34.1677625,-118.26305,34.124575,-118.2998875
172,34.1677625,-118.2262125,34.124575,-118.26305
173,34.1677625,-118.189375,34.124575,-118.2262125
174,34.1677625,-118.15253750000001,34.124575,-118.189375
175,34.1677625,-118.1157,34.124575,-118.15253750000001
176,34.21095,-118.6682625,34.1677625,-118.7051
177,34.21095,-118.63142500000001,34.1677625,-118.6682625
178,34.21095,-118.5945875,34.1677625,-118.63142500000001
179,34.21095,-118.55775,34.1677625,-118.5945875
180,34.21095,-118.52091250000001,34.1677625,-118.55775
181,34.21095,-118.484075,34.1677625,-118.52091250000001
182,34.21095,-118.4472375,34.1677625,-118.484075
183,34.21095,-118.41040000000001,34.1677625,-118.4472375
184,34.21095,-118.3735625,34.1677625,-118.41040000000001
185,34.21095,-118.336725,34.1677625,-118.3735625
186,34.21095,-118.2998875,34.1677625,-118.336725
187,34.21095,-118.26305,34.1677625,-118.2998875
188,34.21095,-118.2262125,34.1677625,-118.26305
189,34.21095,-118.189375,34.1677625,-118.2262125
190,34.21095,-118.15253750000001,34.1677625,-118.189375
191,34.21095,-118.1157,34.1677625,-118.15253750000001
192,34.2541375,-118.6682625,34.21095,-118.7051
193,34.2541375,-118.63142500000001,34.21095,-118.6682625
194,34.2541375,-118.5945875,34.21095,-118.63142500000001
195,34.2541375,-118.55775,34.21095,-118.5945875
196,34.2541375,-118.52091250000001,34.21095,-118.55775
197,34.2541375,-118.484075,34.21095,-118.52091250000001
198,34.2541375,-118.4472375,34.21095,-118.484075
199,34.2541375,-118.41040000000001,34.21095,-118.4472375
200,34.2541375,-118.3735625,34.21095,-118.41040000000001
201,34.2541375,-118.336725,34.21095,-118.3735625
202,34.2541375,-118.2998875,34.21095,-118.336725
203,34.2541375,-118.26305,34.21095,-118.2998875
204,34.2541375,-118.2262125,34.21095,-118.26305
205,34.2541375,-118.189375,34.21095,-118.2262125
206,34.2541375,-118.15253750000001,34.21095,-118.189375
207,34.2541375,-118.1157,34.21095,-118.15253750000001
208,34.297325,-118.6682625,34.2541375,-118.7051
209,34.297325,-118.63142500000001,34.2541375,-118.6682625
210,34.297325,-118.5945875,34.2541375,-118.63142500000001
211,34.297325,-118.55775,34.2541375,-118.5945875
212,34.297325,-118.52091250000001,34.2541375,-118.55775
213,34.297325,-118.484075,34.2541375,-118.52091250000001
214,34.297325,-118.4472375,34.2541375,-118.484075
215,34.297325,-118.41040000000001,34.2541375,-118.4472375
216,34.297325,-118.3735625,34.2541375,-118.41040000000001
217,34.297325,-118.336725,34.2541375,-118.3735625
218,34.297325,-118.2998875,34.2541375,-118.336725
219,34.297325,-118.26305,34.2541375,-118.2998875
220,34.297325,-118.2262125,34.2541375,-118.26305
221,34.297325,-118.189375,34.2541375,-118.2262125
222,34.297325,-118.15253750000001,34.2541375,-118.189375
223,34.297325,-118.1157,34.2541375,-118.15253750000001
224,34.340512499999996,-118.6682625,34.297325,-118.7051
225,34.340512499999996,-118.63142500000001,34.297325,-118.6682625
226,34.340512499999996,-118.5945875,34.297325,-118.63142500000001
227,34.340512499999996,-118.55775,34.297325,-118.5945875
228,34.340512499999996,-118.52091250000001,34.297325,-118.55775
229,34.340512499999996,-118.484075,34.297325,-118.52091250000001
230,34.340512499999996,-118.4472375,34.297325,-118.484075
231,34.340512499999996,-118.41040000000001,34.297325,-118.4472375
232,34.340512499999996,-118.3735625,34.297325,-118.41040000000001
233,34.340512499999996,-118.336725,34.297325,-118.3735625
234,34.340512499999996,-118.2998875,34.297325,-118.336725
235,34.340512499999996,-118.26305,34.297325,-118.2998875
236,34.340512499999996,-118.2262125,34.297325,-118.26305
237,34.340512499999996,-118.189375,34.297325,-118.2262125
238,34.340512499999996,-118.15253750000001,34.297325,-118.189375
239,34.340512499999996,-118.1157,34.297325,-118.15253750000001
240,34.3837,-118.6682625,34.340512499999996,-118.7051
241,34.3837,-118.63142500000001,34.340512499999996,-118.6682625
242,34.3837,-118.5945875,34.340512499999996,-118.63142500000001
243,34.3837,-118.55775,34.340512499999996,-118.5945875
244,34.3837,-118.52091250000001,34.340512499999996,-118.55775
245,34.3837,-118.484075,34.340512499999996,-118.52091250000001
246,34.3837,-118.4472375,34.340512499999996,-118.484075
247,34.3837,-118.41040000000001,34.340512499999996,-118.4472375
248,34.3837,-118.3735625,34.340512499999996,-118.41040000000001
249,34.3837,-118.336725,34.340512499999996,-118.3735625
250,34.3837,-118.2998875,34.340512499999996,-118.336725
251,34.3837,-118.26305,34.340512499999996,-118.2998875
252,34.3837,-118.2262125,34.340512499999996,-118.26305
253,34.3837,-118.189375,34.340512499999996,-118.2262125
254,34.3837,-118.15253750000001,34.340512499999996,-118.189375
255,34.3837,-118.1157,34.340512499999996,-118.15253750000001
